Polymer;Solvent;Sample type
ABS;1,3-Dioxolane;waste
ABS;1-Bromonaphthalene;waste
ABS;1-Butanol;pellet
ABS;1-Butanol;waste
ABS;1-Chlorobutane;waste
ABS;1-Methoxy-2-propanol;waste
ABS;1-Propanol;waste
ABS;1-Propanol;pellet
ABS;2-Butanone;pellet
ABS;2-Methylpyridine;waste
ABS;2-Propanol;pellet
ABS;2-Propanol;waste
ABS;Acetic acid;waste
ABS;Acetone;waste
ABS;Acetone;pellet
ABS;Acetonitrile;pellet
ABS;Acetonitrile;waste
ABS;Acetophenone;waste
ABS;Anisole;waste
ABS;Butyl Benzoate;waste
ABS;Cyclohexane;pellet
ABS;Cyclohexanone;waste
ABS;Diacetone Alcohol;waste
ABS;Dichloromethane;waste
ABS;Dichloromethane;pellet
ABS;Diethyl Carbonate;waste
ABS;Diethyl adipate;waste
ABS;Diethyl ether;pellet
ABS;Diethyl ether;waste
ABS;Dimethyl Sulfoxide;waste
ABS;Dodecane;pellet
ABS;Ethanol;pellet
ABS;Ethyl acetate;pellet
ABS;Ethyl acetate;waste
ABS;Ethylene glycol;waste
ABS;Formic acid;waste
ABS;Heptane;pellet
ABS;Hexane;pellet
ABS;Hexane;waste
ABS;Methanol;pellet
ABS;Methanol;waste
ABS;Methyl acetate;pellet
ABS;N,N-Dimethylformamide;pellet
ABS;N,N-Dimethylformamide;waste
ABS;N-methyl-2-pyrrolidone;pellet
ABS;Sulfolane;waste
ABS;Tetrahydrofuran;pellet
ABS;Tetrahydrofuran;waste
ABS;Toluene;pellet
ABS;Toluene;waste
ABS;Water;pellet
HDPE;Cyclohexane;film
HDPE;Limonene;film
HDPE;Squalane;film
HDPE;Toluene;film
HDPE;alpha-Pinene;film
HDPE;m-Xylene;pellet
HDPE;o-Xylene;film
HDPE;p-Cymene;film
LDPE;2-Methyl tetrahydrofuran;film
LDPE;Acetone;film
LDPE;Cyclohexane;film
LDPE;Cyclopentyl methyl ether;film
LDPE;Dimethyl carbonate;film
LDPE;Dodecane;film
LDPE;Dodecane;pellet
LDPE;Ethanol;film
LDPE;Ethyl acetate;pellet
LDPE;Ethyl lactate;film
LDPE;Ethylene glycol;film
LDPE;Formic acid;film
LDPE;Limonene;pellet
LDPE;Toluene;pellet
LDPE;alpha-Pinene;pellet
LDPE;gamma-Valerolactone;film
LDPE;m-Xylene;pellet
LDPE;o-Xylene;film
LDPE;p-Cymene;film
PA6;Acetone;film
PA6;Dimethyl Sulfoxide;film
PA6;Ethylene glycol;film
PA6;N,N-Dimethylformamide;fiber
PA66;1,4-Butanediol;fiber
PA66;Acetic acid;film
PA66;Acetone;film
PA66;N,N-Dimethylformamide;fiber
PC;1,3-Dioxolane;waste
PC;1,3-Dioxolane;film
PC;1,4-Dioxane;waste
PC;1,4-Dioxane;film
PC;2-Butanol;waste
PC;2-Butanol;film
PC;2-Methylpyridine;waste
PC;2-Methylpyridine;film
PC;Acetone;waste
PC;Acetone;film
PC;Acetone;pellet
